[00:00] 鎖是什麼價值?
[00:03] 好
[00:06] 我現在來講解鎖是什麼東西
[00:08] 反正一個鎖在門上面有什麼東西
[00:11] 第一個
[00:13] 前部機
[00:15] 或者叫室外機
[00:19] 這第一個
[00:20] 第二個
[00:21] 這個部分門打開來之後
[00:24] 門裡面會卡個叫什麼?鎖夾
[00:27] 這叫鎖夾
[00:28] 這整塊叫鎖夾會卡進去
[00:31] 會卡在門裡面
[00:33] 但是我們看到的肉眼
[00:35] 第一個看到的是銀色的這個寬與長的部分
[00:39] 叫做側板
[00:41] 規格的側板
[00:43] 下面這個叫做鎖匙或斜匙
[00:46] 斜匙下面
[00:48] 或者是上面
[00:49] 有時候會有
[00:52] 自動鎖夾的部分會有感應器
[00:54] 這個自動鎖感應器
[00:56] 如果是半自動鎖夾就沒有感應器
[01:00] 然後還有方形的這個叫做鎖栓
[01:04] 有的有兩根有的有三根
[01:07] 鎖栓的下方
[01:09] 有一些會有按鎖鎖栓
[01:11] 這叫按鎖鎖栓
[01:14] 有些沒有
[01:16] 這看看這個
[01:17] 看這個設計
[01:19] 然後再來就是後部機
[01:21] 或者是室內機
[01:23] 這個叫後部機或室內機
[01:25] 就是室內的這樣子
[01:28] 然後門框的部分
[01:30] 就是你看到的門框的部分
[01:34] 門框這邊有個鐵片
[01:36] 銀色的鐵片
[01:38] 這個叫做鏽口片
[01:40] 鏽口片會有
[01:43] 鎖匙或斜匙
[01:45] 卡榫的卡的位置
[01:48] 鎖孔的洞
[01:49] 鎖匙的洞或鎖匙的洞
[01:51] 以及鎖栓的洞
[01:53] 或者是如果有按鎖
[01:55] 會有按鎖鎖栓的洞
[01:57] 所以這個叫做鏽口片
[02:00] 就這樣
[02:01] 這是基本鎖會有的東西
