core_id,category,user_question,standard_answer,agent_reply,triggered_transfer,intent_match,key_info_coverage,followup_correct,escalation_correct,safety_ok,overall,judge_comment,error
CORE-0161,硬體維修,APP連線一直卡住要先查哪裡？,可以，我用比較白話的方式說明：Mesh狀況： 客戶家中使用 ORBI 路由器，不論是獨立的 2.4GHz Wi-Fi，或是 IoT Network（2.4GHz）， 設備雖然都能順利綁定完成，但在進行 視訊開門時明顯卡頓、不穩定。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"針對 APP 連線一直卡住的問題，建議您可以先依照以下步驟進行排查，這通常與家用網路環境的設定有關：

1. **確認 Wi-Fi 頻段：** 電子鎖大多僅支援 **2.4 GHz** 的 Wi-Fi 頻段，若您的路由器是雙頻（2.4G 與 5G 合併），建議進入路由器設定將兩者名稱分開，確保電子鎖是連接在 2.4 GHz 的頻段上。
2. **網路設定相容性：** 若您使用的是較新的 Wi-Fi 6、7 或 8 的路由器，可能因協定較新而與電子鎖不相容。您可以嘗試進入路由器後台將 802.11 規格調整，或者使用一般的 2.4 GHz 入門路由器測試看看。
3. **確認耗電狀況：** 網路連線不穩有時會導致電子鎖異常耗電。請確認您使用的電池是否為 **Panasonic 鹼性電池**（金紅或金藍包裝），避免使用金鼎或其他品牌，以免因電壓不穩造成連線斷斷續續。

如果確認過上述網路設定仍無法解決，或者有其他操作上的疑問，為了更精確地協助您，請問您電子鎖的**品牌**與**型號**為何？（型號通常標示在電池蓋內側、說明書或保固卡上）。確認型號後，我們可以進一步為您確認該型號的專屬設定步驟。",False,1.0,0.5,1.0,1.0,1.0,0.9,回覆專業但未提及標準答案中的Mesh狀況與截圖需求，追問規範執行正確，整體符合安全邊界。,
CORE-0008,硬體維修,免下壓款和下壓式電子門鎖的開門動作差異？,可以，我用比較白話的方式說明：解釋推拉式為直接進門，把手式則需下壓把手的機械區別。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"免下壓款（通常稱為「推拉式」Push-Pull）與下壓式（通常稱為「握把式」Lever Handle）電子門鎖，在開門的操作動作上有明顯的差異：

1. 下壓式（握把式）：
   - 開門動作：當驗證身分（如指紋、密碼、卡片）成功後，門鎖機構會解除鎖定，此時您需要「下壓」門把手，接著再將門「推開」或「拉開」。
   - 特點：這是傳統機械鎖延伸出的操作方式，符合大多數人對門把的直覺使用習慣。

2. 免下壓款（推拉式）：
   - 開門動作：當驗證身分成功後，門鎖會自動解鎖，您只需要直接「推」門（若為向內開）或「拉」門（若為向外開）即可進入，無需額外下壓把手的動作。
   - 特點：操作更為簡潔快速，特別適合手提重物或小孩、長輩使用，因為它將「解鎖」與「推拉開門」合併為一個流暢的動作。

總結來說，差異在於「是否需要手動下壓把手」：下壓式需要「下壓 + 推/拉」，而免下壓（推拉式）則直接「推或拉」即可開門。",False,1.0,0.5,0.0,1.0,1.0,0.7,專業說明清楚，但未依規範要求使用者提供品牌型號與照片，且缺資料時未進行追問。,
CORE-0002,硬體維修,要約師傅前，門型、型號和照片哪個最先確認？,可以，我用比較白話的方式說明：告知需提供現有鎖體正面及鎖匣照片，以便評估側板規格。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"在安排師傅進行維修或安裝前，**「照片」**通常是最優先確認的項目。

原因在於：

1. **照片能提供最直觀的資訊**：師傅可以透過照片直接判斷門型（如：鐵門、木門、防火門）、鎖體結構以及目前的安裝環境，這是文字描述有時難以準確表達的。
2. **輔助確認型號**：若客戶不確定鎖的型號，照片中的外觀特徵通常能讓專業師傅一眼辨識出品牌與型號，或者排除錯誤的型號判斷。
3. **評估現場狀況**：照片還能協助師傅確認是否需要特殊工具、是否有安裝上的干涉物（如天地鉤、門框飾條等），進而預判安裝難度與所需時間。

因此，在聯繫師傅時，請務必先提供清晰的鎖具與門扇照片，這能大幅提升溝通效率，避免師傅白跑一趟或帶錯工具。",False,1.0,1.0,0.0,1.0,1.0,0.8,回覆準確且符合安全規範，但未依規定在結尾追問聯絡人資訊，導致必抓資訊收集缺失。,
CORE-0204,報價客服,自備鎖代工收費怎麼算？,可以，我先幫您整理需求。不過實際費用會受門型、鎖型、施工難度、是否急件、材料與到府條件影響，為避免報錯價格，會請真人客服依照片與需求確認後回覆。,"這部分已經幫您轉接給真人專員處理。

為了讓專員能更快協助您，先跟您核對一下目前掌握的資訊：

(目前尚未掌握您的聯絡與裝置資訊)

請問以上資訊正確嗎？若有需要補充或更正的地方（例如聯絡電話、地址、鎖的品牌型號），再麻煩您告訴我，我會一併交給專員，由專員盡快與您聯繫。",True,0.5,0.0,0.0,1.0,1.0,0.5,AI 未說明收費影響因素，且未依規範僅追問門型，直接轉接導致資訊收集效率低落。,
CORE-0200,報價客服,裝一組智慧門鎖會怎麼收費？,可以，我先幫您整理需求。不過實際費用會受門型、鎖型、施工難度、是否急件、材料與到府條件影響，為避免報錯價格，會請真人客服依照片與需求確認後回覆。,"好的,這部分我幫您轉接給真人專員處理 🙋

為了讓專員能更快協助您,先跟您核對一下目前掌握的資訊:

(目前尚未掌握您的聯絡與裝置資訊)

請問以上資訊正確嗎?若有需要補充或更正的地方(例如聯絡電話、地址、鎖的品牌型號),
再麻煩您告訴我,我會一併交給專員,由專員盡快與您聯繫 🔧",True,0.5,0.0,0.0,1.0,1.0,0.5,未說明收費影響因素，且追問資訊未遵循「僅問門型」規範，直接轉接真人雖符合流程但缺乏前置說明。,
CORE-0059,報價客服,有網路連線功能的指紋門鎖，對生活有哪些具體好處？,可以，我用比較白話的方式說明：提及可異地遠端開門、即時收到家人到家通知及紀錄查詢。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"擁有網路連線功能（如 Wi-Fi 或藍牙/網關連線）的智慧指紋門鎖，相較於傳統門鎖，能為日常生活帶來以下幾個具體且顯著的便利與安全提升：

1. 遠端監控與即時通知：
您可以透過手機 App 隨時查看門鎖狀態。例如，當門鎖被開啟時，手機會收到即時推播通知；如果有人連續輸入錯誤密碼或嘗試破壞，系統也會發出警示，讓您即使不在家也能掌握門戶安全。

2. 遠端開鎖與訪客管理：
當有親友、清潔人員或快遞臨時到訪，而您剛好不在家時，可以透過 App 遠端解鎖讓對方進入。此外，您可以設定「一次性密碼」或「限時密碼」，讓訪客在指定時間內進入，無需將長期密碼告知他人，既方便又保有隱私。

3. 出入紀錄追蹤：
透過連網功能，系統會詳細記錄每一筆開鎖紀錄（包括是誰、透過什麼方式、在什麼時間開鎖）。這對於家中有小孩或長輩的家庭特別實用，您可以確認孩子是否平安放學回家，或長輩是否已返家。

4. 遠端設定與管理：
您可以在手機上直接新增、刪除或修改使用者的指紋、密碼或卡片權限，不再需要站在門前對著門鎖面板進行繁瑣的按鍵操作。對於多成員家庭或需要頻繁管理門禁的場景，效率大幅提升。

5. 智慧家庭連動：
支援連網的智慧鎖通常能與其他智慧家庭設備連動。例如，設定「開門時自動開啟客廳燈光與冷氣」或「鎖門時自動關閉所有電器」，讓回家與出門的體驗更加自動化與舒適。

6. 系統韌體更新：
具備連網功能意味著門鎖可以透過雲端進行韌體更新（OTA），修復潛在的軟體漏洞或優化運作效率，確保門鎖保持在最佳的安全與功能狀態。

總結來說，網路連線功能將門鎖從單純的「防盜工具」轉變為「智慧家庭的守護中心」，極大化了管理的彈性與對於居家狀況的掌控力。如果您對於特定品牌的智慧鎖功能有進一步的疑問，或需要協助排查故障，歡迎隨時告訴我。",False,0.5,1.0,0.0,1.0,1.0,0.7,回覆內容詳盡且符合要點，但未針對使用者問題進行必要的資料收集與追問，偏離了客服引導流程。,
CORE-0065,門市規格,這個狀況這種說法是不是同一個問題？,可以，我用比較白話的方式說明：新北市林口區民富街83號1樓 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"您好，您沒有提供具體的「狀況」或「說法」內容。

請提供您所指的兩個內容（例如兩段客戶的抱怨、兩則故障描述或兩個問題），我將會協助您分析它們是否屬於同一個問題，並依據客服 SOP 為您判斷處理方式。",False,0.0,0.0,0.0,1.0,1.0,0.4,Agent 未識別出使用者詢問的是電子鎖相關問題，未依規範引導提供品牌型號與照片，回覆過於機械化且偏離標準答案。,
CORE-0084,門市規格,只知道品牌不知道型號，還能找到對應說明嗎？,可以，我用比較白話的方式說明：提供 GL220 的 Google Drive 分享連結。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"可以的，請提供該電子鎖的「品牌」以及「鎖的外觀照片」（如果有），或是描述一下它的外觀特徵（例如：是否有把手、指紋辨識在什麼位置、開鎖方式等）。

即使沒有型號，透過品牌與外觀特徵，我也能協助您辨識鎖型，進而查詢對應的操作說明或故障排除建議。

請告訴我您的品牌，並盡可能提供以下資訊：
1. **品牌名稱**（如：Philips, Kaadas, Milre 等）。
2. **門鎖外觀描述**（推拉式還是按壓把手式？是否有螢幕或數字鍵盤？）。
3. **您目前遇到的狀況**（是需要設定密碼、更換電池，還是遇到故障警報？）。

若您手邊有照片，也可以直接上傳，我會盡力協助您判斷。",False,1.0,0.5,0.5,1.0,1.0,0.8,回覆方向正確且安全，但未提供範例連結，且追問資訊過多，未嚴格遵守僅詢問品牌之規範。,
CORE-0064,門市規格,鎖市地址為何？,可以，我用比較白話的方式說明：新北市林口區民富街83號1樓 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"抱歉，我目前無法直接查詢到「鎖市 LockSmart」的實體店面地址資訊。

為了能協助您，請問您是需要安排師傅到府服務，還是有其他關於鎖具的問題需要諮詢？若涉及服務預約或需要專人協助，我可以為您轉接真人客服。",False,0.0,0.0,0.0,0.5,1.0,0.3,未提供標準答案中的地址資訊，且未依規範追問品牌型號，未能有效引導使用者提供必要資訊。,
CORE-0375,APP設定,卡片命名要在哪設定？,可以，我用比較白話的方式說明：卡片新增或刪除需確認卡片格式與管理員權限。APP模式可能會清除原手動登錄資料。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"請問您指的「卡片命名」是指在電子鎖的設定中，為特定的卡片設定名稱（以便識別是誰持有的卡片）嗎？

由於不同電子鎖品牌與型號的系統設計不同，大部分的家用電子鎖在新增卡片時，通常是直接透過「編號」或「順序」來管理（例如：新增使用者 01、02...），並不一定支援在鎖具本身設定「文字名稱」。

為了能更精確地協助您，請問：
1. 您目前使用的是哪一個**品牌**與**型號**的電子鎖？
2. 您是在什麼裝置或軟體（例如：手機 APP 或電子鎖本身的語音選單）上看到這個需求的呢？

您可以提供品牌型號，我將為您查詢該機型的操作邏輯。",False,1.0,0.5,0.5,1.0,1.0,0.8,意圖判斷正確且安全，但未依規範僅追問品牌型號，且未提供標準答案中的卡片管理與APP注意事項。,
