[00:00] 因為我們現在有人臉辨識跟掌機板辨識
[00:05] 人臉辨識跟掌機板辨識要當它開始辨識有感應的時候
[00:09] 鏡頭的兩側會亮紅燈
[00:12] 有紅燈
[00:14] 紅燈亮起來,感應成功就會顯示已開鎖
[00:18] 那當它在上鎖的時候
[00:21] 像我們這樣子關上門
[00:24] 上鎖的時候
[00:26] 這個紅燈不會馬上開
[00:28] 這個叫做防回頭機制
[00:30] 防回頭機制就是
[00:32] 我一關上門
[00:34] 紅燈不會馬上亮
[00:36] 我摸一摸它才會馬上亮
[00:38] 因為
[00:40] 當我們出家門的時候
[00:42] 如果紅燈馬上亮,開始感應
[00:44] 那它感應到你的人臉
[00:46] 你又會再開一次門
[00:48] 所以我們要有個防回頭機制
[00:50] 讓你的門不會再次開啟
[00:52] 中間會落在大概20秒左右
[00:54] 那什麼意思呢?
[00:57] 就是當你今天
[00:59] 你是住集合室住宅
[01:01] 或是你住
[01:03] 你算是透天
[01:05] 你可能前面的兩廳都會有人
[01:07] 等等的情形發生
[01:09] 只要有生物,貓狗,什麼都算
[01:11] 只要有生物經過
[01:13] 那它的紅燈
[01:15] 感應器就會開始亮
[01:17] 那樣的時候它就會嘗試感應
[01:19] 那因為是鄰居
[01:21] 或是其他人
[01:23] 或是打掃人員
[01:25] 感應失敗它就會熄滅
[01:27] 它就會熄滅
[01:29] 熄滅之後呢
[01:31] 它又會再等20秒
[01:33] 就是我剛講的防回頭機制
[01:35] 所以這個時候如果你剛好從電梯出來
[01:37] 你到你的鎖前面
[01:39] 發現它沒有自動開啟
[01:41] 紅色的燈
[01:43] 去感應你的人臉
[01:45] 代表就是你這20秒
[01:47] 左右之內
[01:49] 有人或是有東西
[01:51] 經過
[01:53] 那你可能會想辦法馬上
[01:55] 站到鎖前面的時候開啟它的紅外線感應
[01:57] 紅燈感應,進行開鎖
[01:59] 所以這是正常現象
[02:01] 那這時候你就要摸螢幕
[02:03] 讓它的紅外線燈開啟
[02:05] 這樣才能夠進行開始感應
[02:07] 但是我們現在
[02:09] 有做軟體更新
[02:11] 在AI99
[02:13] 系列裡面
[02:15] 有螢幕的系列裡面
[02:17] 我們可以進入設定
[02:19] 輸入反應者密碼進行驗證之後
[02:21] 按進行驗證之後
[02:23] 我們進到系統設定裡面
[02:25] 最下面
[02:27] 不是
[02:29] 進到設定裡面
[02:31] 有一個
[02:33] 有一個功能設定
[02:35] 進到功能設定
[02:37] 到最下面有一個防回頭時間
[02:39] 去進入做更改
[02:41] 你可以決定5秒、10秒
[02:43] 還是15秒
[02:45] 然後甚至你可以關閉
[02:47] 但是關閉還是會有2-3秒的
[02:49] 防回頭的時間
[02:51] 因為畢竟它要等在門栈上鎖
[02:53] 所以我們現在做這個更新
[02:55] 你可以依照你的環境、需求
[02:57] 進行做更改
[02:59] 這個是我們可以指示
[03:01] 系統分新的部分
[03:03] 這也是我們這個品牌現在最常遇到的問題
[03:05] 就是客人會問說
[03:07] 為什麼我走到
[03:09] 鎖前面
[03:11] 問題就會是
[03:13] 我走到鎖前面
[03:15] 不會馬上
[03:17] 有人臉
[03:19] 或者是掌機麥的感應開啟
[03:21] 原因就是因為
[03:23] 在你到你鎖前面之前
[03:25] 可能有人
[03:27] 你的鄰居開了一個門
[03:29] 拿了一個東西
[03:31] 或者是有人經過一下
[03:33] 這樣子
[03:35] 導致他先開啟感應
[03:37] 嘗試感應別人
[03:39] 但是因為失敗了,所以他休息了
[03:41] 才會有這種情形發生
[03:43] 如果你是集合式住宅
[03:45] 就建議你可以關閉
[03:47] 就是進入剛剛的設定裡面
[03:49] 關閉這個返回頭機制的時間
[03:51] 這樣你可能會運用得比較順暢
[03:57] OK,這個是一個
[03:59] 一個最常遇到的
[04:03] 然後再來
[04:05] 我們在系統更新裡面
[04:07] 我們AI99系列
[04:09] 有這個開門
[04:13] 開著門
[04:15] 你開門之後,如果你都不關門
[04:17] 會有未關門的警報
[04:19] 那有些人會覺得很吵
[04:21] 我們就可以進入
[04:23] 系統設定
[04:25] 我們就可以進入
[04:29] 功能設定鍵
[04:31] 然後
[04:33] 輸入管理者密碼
[04:35] 或者是指紋,或者是卡片,或者是人臉
[04:37] 等等的管理者驗證方式
[04:39] 進去之後,進入系統設定
[04:41] 去高級設定
[04:43] 滑到最下面,可以把未關門警報聲音
[04:45] 給打開,或者是關閉
[04:47] 這邊可以蓋
[04:49] 好,就這樣
[04:51] 這個是上面沒有的
[04:53] 影片上面有,這是最新的
[04:55] 要來更新的
[04:57] 關頭
