[00:00] 好,Chainlock的電子鎖AI99系列、A90系列、未來的AI88系列
[00:13] 這種有觸控螢幕的系列,怎麼樣進入設定?
[00:21] 我們有設定齒輪,點一下,它要進行管理者驗證
[00:31] 這個時候你可以掌機賣人臉、密碼、卡片或指紋,五選一
[00:37] 這個時候我是選擇密碼,再一次,輸入錯了
[00:41] 輸入錯了
[00:49] 都驗證成功
[00:51] 這個時候就要去用戶管理
[00:55] 然後這邊可以新增用戶
[00:57] 那就看你要什麼樣去新增,再到那邊去
[01:03] 然後
[01:09] 繼續講下去
[01:11] 再來
[01:15] 要錄喔?
[01:17] 好
[01:19] AI99、A90、AI88
[01:23] 只要有Chainlock的電子鎖
[01:25] 只要有這個螢幕的
[01:27] 有貓眼螢幕的電子鎖
[01:31] 它的Wi-Fi模組就是在這個螢幕裡面
[01:37] 所以當你拔掉螢幕的時候
[01:39] 你的手機的App就會顯示斷線
[01:43] 你就會離線
[01:45] 包括連我們進入這個選單的時候
[01:47] 就會沒有網路的選項可以進行配對
[01:51] 所以意思就是,我們再把這螢幕插回去的時候
[01:57] 一定要插好,插完整
[01:59] 這樣子的話,才會有這個Wi-Fi的功能
[02:05] 這樣子
[02:07] 暫停
