core_id,category,user_question,standard_answer,agent_reply,triggered_transfer,intent_match,key_info_coverage,followup_correct,escalation_correct,safety_ok,overall,judge_comment,error
CORE-0161,硬體維修,APP連線一直卡住要先查哪裡？,可以，我用比較白話的方式說明：Mesh狀況： 客戶家中使用 ORBI 路由器，不論是獨立的 2.4GHz Wi-Fi，或是 IoT Network（2.4GHz）， 設備雖然都能順利綁定完成，但在進行 視訊開門時明顯卡頓、不穩定。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"當客戶反映 APP 連線卡住或離線時，建議先依照以下順序排查連線環境：

1. **確認 Wi-Fi 頻段**：電子鎖目前大多僅支援 **2.4 GHz** 的 Wi-Fi 頻段，請確認家中路由器是否已將 2.4G 與 5G 分開設定。若兩者名稱合併（Band Steering），常會導致 IoT 設備連線不穩及異常耗電。
2. **確認路由器規格**：若使用的是較新的 Wi-Fi 6/7/8 規格路由器，電子鎖可能會因協定不相容而連線異常。建議可進入路由器後台調整 802.11 規格，或建議客戶改用僅支援 2.4G 的入門級路由器。

請先協助客戶確認上述網路設定，若調整後仍無法連線，請告知客戶，我們會再為您安排專員進一步協助確認。",False,1.0,0.5,0.0,1.0,1.0,0.7,回覆方向正確但未依規範追問品牌型號，且未提供標準答案中關於Mesh與截圖的建議。,
CORE-0008,硬體維修,免下壓款和下壓式電子門鎖的開門動作差異？,可以，我用比較白話的方式說明：解釋推拉式為直接進門，把手式則需下壓把手的機械區別。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"電子鎖依開門動作主要可分為「把手式」與「推拉式」兩大類型，差異如下：

1. **把手式電子鎖**：
   - **操作動作**：解鎖後，需要握住門把並「往下壓」，才能開啟門扇。
   - **特徵**：外型通常為傳統機械鎖的結構，把手與鎖體為一體。

2. **推拉式電子鎖**：
   - **操作動作**：解鎖後，直接「推」門（向內推）或「拉」門（向外拉）即可開啟，不需要進行下壓把手的動作。
   - **特徵**：外型通常為一體化的長條形設計，操作較直覺、省力。

若您正考慮購買或對家中電子鎖的操作方式有疑問，建議可根據上述特徵確認目前的鎖具類型。如有其他技術問題或需要專業評估，歡迎隨時詢問。",False,1.0,0.5,0.0,1.0,1.0,0.7,專業解釋清楚，但未依規範要求使用者提供品牌型號與照片，且缺資料時未進行追問。,
CORE-0002,硬體維修,要約師傅前，門型、型號和照片哪個最先確認？,可以，我用比較白話的方式說明：告知需提供現有鎖體正面及鎖匣照片，以便評估側板規格。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"在預約師傅（如安裝或維修）時，系統要求的是**一次性收集**所需的關鍵資訊，並沒有強制規定哪一個項目必須「最先」確認，而是強調**情境式問答**，將該情境所需的所有必抓資訊「一次條列」給客戶。

根據《鎖市 LockSmart》的客服 SOP：

1. **安裝預約**：必須明確要求提供**照片**（門的正/背/側 + 門框照片），並確認品牌型號與聯絡資訊。
2. **維修預約**：必須明確收集**品牌型號**、**故障症狀**與**聯絡資訊**。

**核心原則是「一次問完，不要追問」**：
*   不要每次只問一個項目再等回覆。
*   缺資料時，請將該情境所有缺的關鍵項目條列給客戶，方便對方一次提供。

因此，並非「門型、型號、照片」三者排序，而是根據客戶的需求情境（安裝 vs 維修），將該情境對應的所有必要資訊（包含照片、型號等）組合成一段話術，一次性提供給客戶。",False,0.5,0.0,1.0,1.0,1.0,0.7,回覆過於理論化，未針對使用者問題提供具體判斷建議，且未包含標準答案中關於照片與鎖匣的關鍵評估資訊。,
CORE-0204,報價客服,自備鎖代工收費怎麼算？,可以，我先幫您整理需求。不過實際費用會受門型、鎖型、施工難度、是否急件、材料與到府條件影響，為避免報錯價格，會請真人客服依照片與需求確認後回覆。,"為您轉接真人專員處理，以便提供您準確的安裝代工報價。

為了讓專員能更快協助您，請您提供以下資訊：
1. 您所在的地區（縣市/行政區）
2. 您預計安裝的鎖品牌與型號
3. 現場門的種類（例如：木門、鐵門，是否有舊鎖需要拆除）

您可以直接回覆上述資訊，我會一併轉交給專員。",True,1.0,0.5,0.0,1.0,1.0,0.7,雖成功轉接真人，但未說明報價受多項因素影響，且追問資訊未遵循「僅問門型」之規範。,
CORE-0200,報價客服,裝一組智慧門鎖會怎麼收費？,可以，我先幫您整理需求。不過實際費用會受門型、鎖型、施工難度、是否急件、材料與到府條件影響，為避免報錯價格，會請真人客服依照片與需求確認後回覆。,"好的，這部分我幫您轉接給真人專員處理 🙋

為了讓專員能更快協助您，先跟您核對一下目前掌握的資訊：

(目前尚未掌握您的聯絡與裝置資訊)

請問以上資訊正確嗎？若有需要補充或更正的地方（例如聯絡電話、地址、鎖的品牌型號），再麻煩您告訴我，我會一併交給專員，由專員盡快與您聯繫 🔧",True,0.5,0.0,0.0,1.0,1.0,0.5,未說明報價影響因素，且追問資訊未遵循「僅問門型」規範，直接轉接真人導致資訊收集效率低。,
CORE-0059,報價客服,有網路連線功能的指紋門鎖，對生活有哪些具體好處？,可以，我用比較白話的方式說明：提及可異地遠端開門、即時收到家人到家通知及紀錄查詢。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"擁有網路連線功能的指紋門鎖（智慧門鎖），對日常生活確實帶來許多實質的便利與安全性提升，以下為您整理幾個具體的好處：

1. 遠端控制與監控
這是連網門鎖最核心的功能。即使您不在家，也能透過手機 APP 隨時確認門鎖的開關狀態。若有親友突然造訪，您可以直接透過手機遠端解鎖，不必為了開門趕回家，也不需要把實體鑰匙藏在門外。

2. 生成臨時密碼與訪客管理
對於需要短期進入家中或辦公室的人員（如清潔人員、房仲、或 Airbnb 房客），您可以設定「限時」或「一次性」密碼。這些密碼在指定時間後即失效，省去了更換實體鑰匙的麻煩，也更安全。

3. 即時推播通知與紀錄查詢
門鎖會記錄誰在什麼時間進出。若家中有長輩或小孩，當他們回家並使用指紋解鎖時，您的手機會收到推播通知，讓您能即時掌握家人是否平安到家。此外，詳細的進出紀錄在需要時也能作為安全參考。

4. 異常報警功能
連網門鎖通常具備防盜警報。如果門鎖被多次嘗試破解、或是遭到暴力破壞，門鎖會發出警報聲，並同步發送警示通知到您的手機，讓您能第一時間採取行動或報警。

5. 與其他智慧家居整合
這類門鎖通常能與智慧家庭系統（如燈光、空調、攝影機）串聯。例如，您可以設定「開門時自動開啟客廳燈光」或「開門時自動關閉保全系統」，營造更舒適便利的居家場景。

6. 遠端更新與故障排除
部分具備網路功能的門鎖，原廠可以透過雲端發送韌體更新（OTA），修復軟體漏洞或提升效能，讓門鎖保持在最新的安全狀態。

總結來說，連網指紋鎖將「門禁」從單純的物理防護，升級為可管理、可監控的數位服務，特別適合重視居家安全、有長幼照護需求，或是希望提升生活效率的現代家庭。

如果您對特定型號的連網門鎖操作或功能有疑問，歡迎隨時告訴我，我會依據鎖市（LockSmart）的專業知識為您說明。",False,0.5,0.5,0.0,1.0,1.0,0.6,回覆過於發散，未聚焦於標準答案要求的白話說明，且未針對必抓資訊進行追問。,
CORE-0065,門市規格,這個狀況這種說法是不是同一個問題？,可以，我用比較白話的方式說明：新北市林口區民富街83號1樓 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"您好，您目前的訊息中只包含了 Runtime Context（執行環境資訊），並沒有附上您提到的「這個狀況」與「這種說法」的具體內容。

請您提供這兩個部分的詳細描述或對話紀錄，我才能為您判斷它們是否屬於同一個問題，並協助您進行後續的處理。",False,0.0,0.0,0.0,1.0,1.0,0.4,回覆過於生硬且未遵循標準答案引導，未針對必抓資訊進行追問，且使用了不必要的技術術語。,
CORE-0084,門市規格,只知道品牌不知道型號，還能找到對應說明嗎？,可以，我用比較白話的方式說明：提供 GL220 的 Google Drive 分享連結。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"可以的。即使您不知道電子鎖的具體型號，只要知道品牌，我們依然可以嘗試協助：

1. **提供品牌層級的資訊**：我們可以查看該品牌的通用說明文件（`_brand.md`），這通常包含該品牌常見的操作邏輯、安全注意事項或常見故障排除建議。
2. **通用的故障排除**：許多電子鎖的基礎問題（如電池沒電、Wi-Fi 連線、門鎖警報等）有通用的處理原則，這些內容我們都有建立相關的知識庫。
3. **確認型號的輔助**：如果您手邊有電子鎖，您可以提供它外觀的特徵、面板上的標示，或是拍攝照片，我可以協助您辨識可能的系列，進而縮小搜尋範圍。

**建議您採取以下步驟：**

* 請先告知我您的電子鎖**品牌**。
* 如果您有該鎖的照片，或者鎖面上看到的任何數字、英文代碼，也可以提供給我，這有助於我為您找到更精確的說明。
* 若該型號屬於我們資料庫中較為特殊的款式，或者無法透過說明解決，我也會依照標準作業程序（SOP）建議您是否需要安排技術人員前往現場檢查。

請問您的電子鎖是什麼品牌呢？",False,1.0,0.5,1.0,1.0,1.0,0.9,回覆方向正確且追問符合規範，但未提供標準答案要求的 Google Drive 連結範例，資訊完整度稍顯不足。,
CORE-0064,門市規格,鎖市地址為何？,可以，我用比較白話的方式說明：新北市林口區民富街83號1樓 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"抱歉，目前系統無法直接讀取到鎖市的門市資訊，也無法透過網路搜尋為您查詢。

為了能更精確協助您，請問您是想詢問哪一個地區的鎖市門市地址呢？或者您可以提供您的所在地，我再協助您確認是否有相關的服務資訊。",False,0.0,0.0,0.0,1.0,1.0,0.4,未識別出使用者詢問的是特定門市地址，未能提供標準答案，且追問內容偏離必抓資訊規範。,
CORE-0375,APP設定,卡片命名要在哪設定？,可以，我用比較白話的方式說明：卡片新增或刪除需確認卡片格式與管理員權限。APP模式可能會清除原手動登錄資料。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"關於「卡片命名」的設定，通常是在您進行卡片登錄或在管理後台（若您的電子鎖型號支援 App 管理）進行操作時設定的。

由於不同品牌（如 Philips、Kaadas、Milre 等）與型號的操作邏輯有所差異，為了能提供您正確的步驟，請告訴我：

1. **您的電子鎖品牌與型號為何？**（通常標示在鎖體面板或電池蓋內側）
2. **您目前是透過什麼方式進行管理？**（例如：在鎖上直接操作、或是使用手機 App？）

若您手邊有說明書，建議也可以查閱「用戶管理」或「卡片/鑰匙管理」章節。若您需要進一步協助或查詢特定型號，請提供以上資訊，我將會為您查詢。",False,1.0,0.5,0.5,1.0,1.0,0.8,意圖判斷正確，但未包含標準答案中的卡片格式與權限提醒，且追問項目超過規範限制。,
