core_id,category,user_question,standard_answer,agent_reply,triggered_transfer,intent_match,key_info_coverage,followup_correct,escalation_correct,safety_ok,overall,judge_comment,error
CORE-0161,硬體維修,APP連線一直卡住要先查哪裡？,可以，我用比較白話的方式說明：Mesh狀況： 客戶家中使用 ORBI 路由器，不論是獨立的 2.4GHz Wi-Fi，或是 IoT Network（2.4GHz）， 設備雖然都能順利綁定完成，但在進行 視訊開門時明顯卡頓、不穩定。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"APP 連線一直卡住（離線）時，請優先依照下列步驟進行排查，這通常與 Wi-Fi 環境設定有關：

1. **確認 Wi-Fi 頻段**：電子鎖通常僅支援 **2.4 GHz** 的 Wi-Fi 頻段，若您的網路環境是 5 GHz，將無法連線。
2. **檢查路由器設定**：請確認家用路由器的 2.4G 與 5G 頻段是否**分開設定**。如果兩者名稱合併（Band Steering），常會導致 IoT 設備連線不穩定，甚至造成異常耗電。
3. **相容性確認**：若您使用的是較新款的 Wi-Fi 6/7/8 路由器，可能會因為協定不相容導致連線問題。建議檢查路由器後台，嘗試將該頻段的 802.11 規格進行調整，或使用僅支援 2.4G 的入門級路由器作為連接設備。

若調整上述設定後仍無法排除問題，請告知您的**品牌與型號**，以便為您查詢更詳細的排查步驟或確認是否需要安排專員到府檢查。",False,1.0,0.5,1.0,1.0,1.0,0.9,回覆專業但未提及標準答案中的Mesh狀況與截圖需求，且未針對必抓資訊進行全面詢問，僅在結尾補問品牌型號。,
CORE-0008,硬體維修,免下壓款和下壓式電子門鎖的開門動作差異？,可以，我用比較白話的方式說明：解釋推拉式為直接進門，把手式則需下壓把手的機械區別。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"電子門鎖在開門動作上的主要差異在於「把手」的設計與操作方式：

1. 下壓式電子門鎖 (Lever Handle)：
這類門鎖保留了傳統機械鎖的把手設計。當您驗證身份（如指紋、密碼、卡片）成功後，鎖舌會自動縮回，此時您需要「手動下壓」把手，才能將門推開或拉開。它的操作邏輯是「驗證 → 下壓把手 → 開門」。

2. 免下壓款（通常稱為推拉式 Push-Pull 或全自動推拉鎖）：
這類門鎖取消了傳統的下壓把手，改用「推拉」結構。當您驗證身份成功後，鎖舌會自動縮回，您只需直接「推」或「拉」門把（或推拉門板本身）即可開門。它的操作邏輯是「驗證 → 直接推/拉門」。

總結來說：
* 下壓式：開門時多了一個「下壓把手」的動作。
* 免下壓（推拉式）：驗證後直接進行「推/拉」動作即可，這類設計通常更適合手提物品或抱小孩時使用，操作更為直覺流暢。",False,1.0,0.5,0.0,1.0,1.0,0.7,專業解釋清楚，但未依規範要求使用者提供品牌型號與照片，導致後續判斷困難。,
CORE-0002,硬體維修,要約師傅前，門型、型號和照片哪個最先確認？,可以，我用比較白話的方式說明：告知需提供現有鎖體正面及鎖匣照片，以便評估側板規格。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"在安排師傅到府服務時，為了確保師傅能正確準備工具與判斷維修可行性，**「照片」是最先確認的重點**。

原因如下：

1.  **照片具備最高參考價值**：照片能直接呈現門鎖的實際安裝環境、門型細節（如是否有天地鉤、門框邊距）以及鎖體的當前狀態。有時客戶對「型號」的描述可能錯誤或不完整，但照片能讓專業人員一眼判斷出正確的鎖體類型。
2.  **型號次之**：型號有助於縮小範圍，確認是否為我們支援的品牌與系列，但在實際維修中，若沒有照片確認現場狀況，僅憑型號往往不足以評估安裝難度或所需零件。
3.  **門型最後**：門型資訊通常在檢查照片時即可同步確認，若照片不夠清晰，才會特別針對門型（如木門、鐵門、不鏽鋼門）進行詢問。

**總結建議：**
請客戶提供**「鎖體正面的清晰照片」**與**「門鎖側邊（鎖舌部分）的照片」**，這兩張照片通常能涵蓋型號與門型的大部分必要資訊，是安排師傅前最優先的確認步驟。",False,1.0,1.0,0.0,1.0,1.0,0.8,準確回答優先順序，但未依規範追問聯絡人資訊，且回覆過於冗長，未精簡至白話說明。,
CORE-0204,報價客服,自備鎖代工收費怎麼算？,可以，我先幫您整理需求。不過實際費用會受門型、鎖型、施工難度、是否急件、材料與到府條件影響，為避免報錯價格，會請真人客服依照片與需求確認後回覆。,"關於自備鎖代工安裝的收費事宜，由於涉及具體的報價與服務安排，我已為您轉接至真人客服專員。

為了讓專員能更快協助您，請提供以下資訊，我將一併交給專員：
1. 您想安裝的鎖具品牌與型號。
2. 安裝地點（地區即可）。
3. 您的聯絡方式。

感謝您的配合。",True,1.0,0.5,0.0,1.0,1.0,0.7,未說明影響報價的因素，且追問資訊未遵循「僅問門型」規範，直接要求多項資訊，不符合簡化流程要求。,
CORE-0200,報價客服,裝一組智慧門鎖會怎麼收費？,可以，我先幫您整理需求。不過實際費用會受門型、鎖型、施工難度、是否急件、材料與到府條件影響，為避免報錯價格，會請真人客服依照片與需求確認後回覆。,"關於智慧門鎖的安裝費用，由於涉及具體的安裝環境評估、鎖具品牌型號以及施工細節，為了確保提供給您正確的報價，這部分將由我們的專員為您處理。

我已經為您轉接至真人客服，稍後會有專員與您聯繫。為了讓專員能更快速地協助您，請問您目前是否有已購買的鎖具品牌型號，或是需要安裝的門鎖類型呢？您可以直接回覆相關資訊給我，我會一併轉達給專員。",True,1.0,0.5,0.5,1.0,1.0,0.8,回覆方向正確且符合安全規範，但未說明影響價格的因素，且追問時未優先詢問最關鍵的門型。,
CORE-0059,報價客服,有網路連線功能的指紋門鎖，對生活有哪些具體好處？,可以，我用比較白話的方式說明：提及可異地遠端開門、即時收到家人到家通知及紀錄查詢。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"擁有網路連線功能的指紋門鎖（通常稱為智慧門鎖），對現代生活帶來的具體好處主要體現在「便利性」、「安全性」與「管理彈性」三個面向：

1. 遠端管理與即時開門：
這是最直觀的好處。當親友突然來訪，或是有臨時配送需求（如物業快遞、清潔人員）時，您不需要特地趕回家，透過手機 App 即可遠端查看門鎖狀態，並發送「一次性密碼」或直接遠端解鎖，讓訪客進入。

2. 遠端監控與即時通知：
網路版門鎖通常具備「即時推播」功能。無論您身在何處，只要門鎖被開啟、密碼輸入錯誤次數過多、或是偵測到門鎖異常（如遭到強行破壞），手機都會立刻收到警報通知。這讓您能隨時掌握家門口的狀況，增加安全感。

3. 詳盡的出入紀錄：
您可以隨時透過 App 查詢過去的出入時間紀錄。這對於有長輩或小孩的家庭特別實用，例如確認孩子是否已平安放學回家，或確認照顧者是否按時抵達。

4. 彈性設定權限：
您可以為不同的人設定不同的權限。例如，為清潔人員設定僅在每週二上午 10 點至 12 點有效的「臨時密碼」，時間一到該密碼即自動失效，無需擔心鑰匙被複製或長期密碼外洩的問題。

5. 智慧居家串聯：
網路連線門鎖可以與其他智慧家電連動。例如，設定「解鎖時自動開啟客廳燈光」或「關門時自動啟動掃地機器人」，讓回家與出門的流程更加自動化、智慧化。

總結來說，網路連線功能將原本單純的「物理防護」升級為「數位化管理」，解決了忘記帶鑰匙的焦慮，並提供了更強的主動式安全監控。

若您正在考慮安裝或對特定型號的功能感興趣，也可以提供您目前的鎖具品牌或型號，我可以為您查詢該機型具體的支援功能。",False,0.5,1.0,1.0,1.0,1.0,0.9,回覆內容詳盡且符合要點，但未依標準規範使用白話說明，且未引導使用者提供故障資訊以利後續排解。,
CORE-0065,門市規格,這個狀況這種說法是不是同一個問題？,可以，我用比較白話的方式說明：新北市林口區民富街83號1樓 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"您好，您目前的訊息中只提供了 Runtime Context（系統環境資訊），並沒有附上您提到的「這個狀況」與「這種說法」的具體內容。

請您將這兩者的內容提供給我，我才能幫您核對它們是否指向同一個問題，或是屬於不同的狀況。",False,0.0,0.0,0.0,0.0,0.0,0.0,,
CORE-0084,門市規格,只知道品牌不知道型號，還能找到對應說明嗎？,可以，我用比較白話的方式說明：提供 GL220 的 Google Drive 分享連結。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"沒問題，即使您目前只知道品牌，我們還是有機會協助您處理。

請您提供以下資訊，我會盡力為您查詢：

1. **鎖的品牌名稱**（例如：Philips, Kaadas, Milre 等）。
2. **鎖具的外觀特徵**（例如：推拉式、握把式、是否有指紋辨識、數字鍵盤是觸控還是實體按鍵等）。
3. **如果有安裝地點的門扇照片**，或是電子鎖面板的照片，會更有助於我們辨識型號。

**請注意：**
* 若涉及報價、預約師傅到府維修或查詢訂單，根據我們的客服規範，我會協助您轉接真人客服處理，以確保您的權益。
* 如果您是遇到操作問題（例如：無法開鎖、警報響起、更換電池），請先提供上述資訊，我會先嘗試為您查找操作說明或排查步驟。

請問您的鎖是什麼品牌呢？建議您可以拍攝一張照片提供給我，這通常是最快辨識型號的方式。",False,1.0,0.5,0.5,1.0,1.0,0.8,意圖正確，但未提供範例連結，且追問資訊過多，未遵守僅詢問品牌之規範。,
CORE-0064,門市規格,鎖市地址為何？,可以，我用比較白話的方式說明：新北市林口區民富街83號1樓 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,抱歉，目前無法查詢到「鎖市 LockSmart」的門市地址資訊。若您有相關需求，建議您可以直接透過我們的官方管道或聯繫真人客服協助查詢。,False,0.0,0.0,0.0,0.5,1.0,0.3,Agent 未能識別意圖並提供正確地址，且未依規範追問品牌型號，回覆內容與標準答案完全不符。,
CORE-0375,APP設定,卡片命名要在哪設定？,可以，我用比較白話的方式說明：卡片新增或刪除需確認卡片格式與管理員權限。APP模式可能會清除原手動登錄資料。 如果方便，請補照片或截圖，我們會更容易判斷是不是同一個狀況。,"關於電子鎖的卡片設定與命名，通常電子鎖本身並不會提供在鎖具上直接進行「卡片命名」的功能，這類操作通常是在管理電子鎖的 **手機 APP** 中進行的。

以下是針對電子鎖卡片管理的幾點說明：

1. **基本概念**：電子鎖的卡片感應（如悠遊卡、一卡通等）通常是透過感應卡片內部的 UID（唯一識別碼）來進行識別。鎖具本身只會紀錄「哪張卡片已經註冊為使用者」，並不會儲存該卡片的名稱。
2. **命名位置**：
   * 若您的電子鎖支援 **專屬 APP**（如 Philips、Kaadas 等高階機種），您可以在 APP 的「使用者管理」或「卡片管理」介面中，針對已註冊的卡片輸入名稱（例如：將某張卡片命名為「爸爸」、「媽媽」或「備用卡」），以便日後查詢開門紀錄時能辨識。
   * 若該型號 **沒有 APP** 或僅透過鎖具本身的設定選單（語音導引）進行註冊，則鎖具端通常無法進行命名，僅能進行「新增」或「刪除」。
3. **建議步驟**：
   * 請先確認您使用的電子鎖品牌與型號。
   * 若您有安裝對應的品牌 APP，請直接在 APP 內的使用者清單查看設定。
   * 若您不確定如何進入管理模式或該型號是否支援 APP，請告知我您的電子鎖品牌與型號，我會為您查詢該型號的相關操作說明。

如果您在操作上有遇到具體困難（例如無法新增卡片、APP 找不到設定等），建議您可以直接提供型號，讓我為您查詢更精確的步驟。",False,1.0,0.5,0.5,1.0,1.0,0.8,回覆專業但未遵循標準答案的白話說明與必抓資訊追問規範，且未要求提供錯誤截圖。,
