[00:00] 常常會有聽到警報說關鎖失敗
[00:05] 或者是門站關門失敗
[00:11] 關鎖未完全等等的反正就是關鎖失敗的情形發生
[00:16] 或是解鎖失敗的情形發生等等的
[00:20] 這種開關門失敗的
[00:22] 會有這種警報
[00:25] 任何品牌都一樣
[00:28] 或者是有些品牌它是嗶嗶嗶叫的
[00:32] 這個要再統整一下
[00:34] 就是要怎麼分類
[00:36] 但是他們統一都會回到一個原因
[00:42] 原因就是鎖栓的部分
[00:45] 鎖栓
[00:48] 鎖栓這個地方鎖栓
[00:51] 因為這種自動上鎖的鎖夾電子鎖類型
[00:57] 這些鎖栓是你一關上門之後
[01:01] 它就會自動伸進受口片的門框的洞裡面
[01:07] 那會失敗就是因為
[01:11] 這個鎖栓伸出來的時候撞到了受口片或者是門框
[01:17] 導致上鎖才會失敗
[01:20] 我們演示一下就知道
[01:22] 譬如說這個好了
[01:24] 感應器嘛
[01:25] 關上門的時候我的手是門框
[01:27] 它會縮進去
[01:28] 假設我撞到了
[01:34] 這個怎麼辦
[01:35] 再一次
[01:40] 撞到門框
[01:43] 會有警報聲
[01:50] 像這樣子
[01:52] 會有警報聲
[01:53] 或者是說我們關門上所失敗
[01:56] 等等的這種警示
[01:58] 就代表是你的鎖栓撞到了門框
[02:01] 或是撞到了受口片
[02:03] 才會有關所失敗
[02:05] 這個時候客戶請先幫我查看
[02:10] 打開門的情況底下
[02:15] 幫我試試看
[02:19] 這樣子
[02:20] 我們去Chairlock的部分的話
[02:23] 幫我
[02:25] 不是用這個對
[02:27] Chairlock的部分的話
[02:29] 在Buscle的後方
[02:31] 有解鎖的圖案跟上鎖的圖案的按鈕
[02:35] 請幫我按上鎖的按鈕
[02:38] 按0.5秒放開之後
[02:47] 這是解鎖
[02:51] 等一下
[02:58] 算了
[03:01] 這邊不擠
