[00:00] 我們Domakaba的電子鎖有時候會遇到一個問題
[00:06] 就是我不管是人在裡面還是人在外面
[00:09] 推著這個把手或者是拉著這個把手等等的
[00:13] 不管是前期還是後期怎麼樣用
[00:16] 那我們就是門會打不開
[00:20] 那因為我們的鎖舌、鞋舌
[00:25] Domakaba的部分跟其他傳統的布一樣
[00:29] 其他的電子鎖不一樣或是傳統鎖不一樣
[00:31] 我們是前後或者是你這樣看的話是左右這樣子擺動的
[00:39] 這樣子擺動的
[00:41] 不是縮進去的
[00:43] 一般人家也會以為說我拉了它會縮進去
[00:45] 我們這個鎖舌的方式不是
[00:48] 是前後擺動的或是看你的角度是左右還是前後
[00:52] 意思就是說什麼呢
[00:54] 我們在關上門之後
[00:57] 假設我人在家裡面
[00:59] 我們在關上門之後
[01:00] 如果拉了發現打不開門
[01:02] 代表這個地方
[01:04] 你沒有卡在那個受口的部分
[01:09] 沒有卡好
[01:10] 你就必須要先確保門是關好的
[01:15] 所以如果你是拉門
[01:17] 你的人在家裡面是拉門開門的話
[01:20] 你就要先把門推緊
[01:22] 推緊的過程再拉把手
[01:24] 這樣就可以瞬間去打開門了
[01:27] 如果人在外面
[01:29] 如果人還在裡面
[01:31] 如果你是推門開門的
[01:33] 那你就要先拉住這個門
[01:36] 整支電子鎖拉住把門拉緊
[01:39] 然後再用力一推這個把手就可以推門開門
[01:43] 如果人是在外面
[01:45] 你是推這個把手推門開門的
[01:48] 你就要把門整個電子鎖門拉緊
[01:52] 然後拉緊之後解鎖
[01:54] 解鎖之後馬上用一推這個把手
[01:57] 它就會像這樣子
[01:59] 就可以直接開門
[02:00] 像這樣子翻
[02:01] 鎖匙就會動
[02:03] 這樣就可以解鎖了
[02:04] 那如果你是拉門開門
[02:06] 人在外面是拉門開門的話
[02:07] 你就要先把門推緊
[02:09] 解鎖再拉門開門
[02:13] 拉這個把手開門就可以打開
[02:17] 這個是最常遇到的問題
[02:19] 最常遇到的問題
[02:21] 然後另外就是
[02:24] 會有
[02:26] 這個要另外錄一個
