[00:00] 電子鎖的部分,大致上分成兩種電子鎖。
[00:10] 一種是整式式的推拉式的,就是我解鎖之後是一整支一體的,直接可以拉或推這個門。
[00:22] 另外一種就是把手式的,就是我需要解鎖之後,往下壓,再打開。
[00:30] 這個叫做把手式的。
[00:34] 再來就是有分,我們打開門後,這個地方稱之為鎖匠,整個叫鎖匠。
[00:46] 鎖匠也有分全自動鎖匠跟半自動鎖匠。
[00:52] 全自動鎖匠就是大部分都有這種感應器,這個上面叫做鎖匠或鎖的卡順,通常都叫鎖匠或鞋匠。
[01:04] 大部分專業名稱叫鎖匠或鞋匠。
[01:07] 這個就是自動上鎖以及自動上鎖感應器。
[01:11] 所以我們在關門的時候,這個會卡到門框,鎖在裡面,這個時候就會自動上鎖。
[01:21] 為什麼沒有,我也不知道,沒關係。
[01:24] 因為我沒裝電池。
[01:26] 鎖匠上面鎖匠感應器,下方會伸出來的這個,大部分是長方形的,也有圓柱形的。
[01:39] 這個叫做鎖栓,或是叫方舌,都有人這樣講。
[01:44] 但是我同意都叫鎖栓,因為它像栓子一樣叫鎖栓。
[01:48] 鎖栓的下面會有另外一個也是長方形,類似這種東西,這個叫做暗鎖鎖栓。
[01:55] 暗鎖的功用就是今天我上鎖之後,外面怎麼樣都打不開,屍體上屍體打不開,有這個功能。
[02:03] 所以我們建議小孩子不要用,坑客人。
[02:10] 然後,另外一種,這個東西叫全自動鎖匠,另外一種叫半自動鎖匠。
[02:15] 就是我鎖栓在關門的時候,這個鎖栓它不會上鎖,它不會伸出來,全自動的會伸出來。
[02:24] 那,半自動什麼意思?就是我關上門,我不管是不關上門,我解鎖之後,這鎖栓要怎麼出來?
[02:39] 是我把手要往上提,往上提它才會伸出來。
[02:43] 然後我解鎖之後,可以一起壓下來,連鎖舌都可以壓下來,鞋舌都可以壓下來。
[02:52] 它說已關鎖的意思是什麼?就是半自動的就是說,它過了大概5秒鐘,3到5秒鐘,你的把手會空轉。
[03:01] 所以你門關上之後,它其實是上鎖的一種,你就打不開了。
