[00:00] 反攻的影片我到時候提給你。
[00:04] 反攻的影片不管有沒有裝鎖,其實都會知道有沒有反攻。
[00:09] 反正門扇反攻的意思就是說,當我今天不管是有裝鎖還是沒裝鎖的情況底下,我開門了,
[00:20] 門扇會自動往外或是往你的室內去進行開門的動作。
[00:28] 你沒有拉門喔,你都沒有動那個門,是一解鎖或是沒裝鎖的情況底下,
[00:34] 門扇就自動往外移或往內移,就是開始自己動,像自動門一樣會打開。
[00:40] 這個都是大部分都是門扇的腳鍊有問題,因為門扇的腳鍊的區域的那部分的門提早擠壓到的門檻或者是門框,
[00:56] 才會造成門扇反攻。
[00:59] 那反攻門扇遇到的狀況,當你裝電子鎖,最常遇見的情形就是,開門非常難開,關門非常難關,開門非常卡非常緊。
[01:16] 關門的時候,那個門會留非常多的縫隙,因為提早擠壓到,所以你在瘦口片的這個門縫的這個鎖匙與瘦口片的這個卡住的這個縫隙,
[01:35] 很多師傅就會故意挑很大,例如像,像這麼大,會這樣晃動,這個就是常常遇到的問題。
[01:48] 因為如果不留這麼大,當你反攻的時候,你就想像一個好幾十尺快上百公斤的門,因為它反攻嘛,它會自己往其他地方移動。
[02:02] 所以,等於說你的門就在動,擠壓到這個瘦口跟鎖匙、鞋匙,所以才會開門的時候變得很緊,會這樣不好開。
[02:16] 這個時候就是客人常常遇到的反應就是,為什麼我的門很卡很緊,或者是我的門的門縫縫隙很大,
[02:32] 門縫的這個,這個叫縫隙,這我也不知道怎麼說,就是門扇與門框的這個,公差很大,這個公差很大,瘦口與鎖匙的公差很大,常常會遇到這個問題。
[02:48] 那,這時候就要請師傅去調整,或者要去調整門扇,對,好,這是其中遇到的問題。
[02:55] 另外一個說門扇很卡的問題,我最前面有提到的就是,有可能是門四周卡東西,最常遇到的都是隔音條、氣密條等等之類的,弄太緊了,弄太凸,因為太凸嘛,太緊。
[03:13] 只要是氣密條、隔音條,這一些東西對於門扇來講,如果調整不好,如果門場調整不好的話,你塞這些東西都叫做異常的物品,異物,對,異常的物品擋在那邊。
[03:33] 擋在那邊就會造成一個情形,就是你的門扇會變得很難關、很難開、很卡,等等的眾多狀況。
[03:41] 這個時候要嘛要調門,要嘛要去掉一些隔音的氣密條,或者是隔音條等等的,才有可能可以解決,要會調門的師傅,這樣子。
[03:56] 對,這個是差不多,好,這樣。
