[00:00] 好,Chainlock的電子鎖的AI99系列、A90系列、甚至未來的AI88系列
[00:13] 這種有螢幕的觸控螢幕的系列
[00:19] 怎麼樣進入設定
[00:21] 我們有這個齒輪
[00:25] 設定齒輪
[00:27] 點一下,它要進行管理者驗證
[00:31] 這個時候你可以掌機賣、人臉、密碼、卡片、或指紋
[00:36] 五選一
[00:38] 這個時候我是選擇密碼
[00:40] 再一次,輸入錯了
[00:49] 就會驗證成功
[00:51] 這個時候
[00:53] 就要去用戶管理
[00:55] 然後這邊可以新增用戶
[00:57] 看你要什麼樣去新增
[01:00] 再到那邊去
[01:10] 繼續講下去
[01:15] 要錄喔?
[01:17] 好
[01:19] AI99、A90、AI88
[01:23] 只要有Chainlock的電子鎖
[01:25] 只要有這個螢幕的
[01:27] 有貓眼螢幕的電子鎖
[01:31] 它的Wi-Fi模組就是在這個螢幕裡面
[01:37] 所以當你拔掉螢幕的時候
[01:39] 你的手機的APP就會顯示斷線
[01:43] 你就會離線
[01:45] 包括連我們進入這個選單的時候
[01:48] 就會沒有網路的選項
[01:50] 可以進行配對
[01:52] 所以意思就是
[01:54] 我們在把這螢幕插回去的時候
[01:57] 一定要插好、插完整
[01:59] 這樣子的話
[02:01] 才會有這個Wi-Fi的功能
[02:04] 這樣子
[02:06] 好,暫停
